DateTime,Symbol,EventType,Price,EntryPrice,StopLoss,TakeProfit,ATR,Volume,Session,DayOfWeek,Hour,Minute,Day,Month,Year,RRR,Outcome,ResultPips
2023-10-04 22:00:00,EURUSD,BullishEMACross,1.05147,1.05147,1.04701,1.05742,0.00298,1809,American,WEDNESDAY,22,0,4,10,2023,1.3340807174888438,Win,59.50000000000122
2023-10-04 22:00:00,EURUSD,Consolidation,1.05147,1.05271,1.04837,1.05704,0.00298,1809,American,WEDNESDAY,22,0,4,10,2023,0.9976958525345471,Loss,-43.400000000000105
2023-10-04 22:00:00,EURUSD,LowVolumeNearResistance,1.05147,1.05147,1.05272,1.04959,0.00298,1809,American,WEDNESDAY,22,0,4,10,2023,1.5039999999996703,Loss,12.500000000001954
2023-10-04 23:00:00,EURUSD,Consolidation,1.05035,1.0527,1.04913,1.05627,0.00295,944,American,WEDNESDAY,23,0,4,10,2023,1.0,Loss,-35.70000000000073
2023-10-04 23:00:00,EURUSD,LowVolumeNearResistance,1.05035,1.05035,1.05395,1.04496,0.00295,944,American,WEDNESDAY,23,0,4,10,2023,1.4972222222221423,Win,-53.89999999999784
2023-10-05 00:00:00,EURUSD,Consolidation,1.05058,1.05241,1.04919,1.05562,0.00263,308,Asian,THURSDAY,0,0,5,10,2023,0.9968944099378678,Win,32.099999999999355
2023-10-05 00:00:00,EURUSD,LowVolumeNearResistance,1.05058,1.05058,1.05337,1.04639,0.00263,308,Asian,THURSDAY,0,0,5,10,2023,1.5017921146954718,Win,-41.900000000001384
2023-10-05 01:00:00,EURUSD,Consolidation,1.05057,1.05239,1.04921,1.05558,0.00256,478,Asian,THURSDAY,1,0,5,10,2023,1.0031446540880709,Loss,-31.799999999999606
2023-10-05 01:00:00,EURUSD,LowVolumeNearResistance,1.05057,1.05057,1.05241,1.04781,0.00256,478,Asian,THURSDAY,1,0,5,10,2023,1.5,Loss,18.400000000000638
2023-10-05 02:00:00,EURUSD,Consolidation,1.05063,1.05236,1.04964,1.05508,0.0024,733,Asian,THURSDAY,2,0,5,10,2023,1.0,Loss,-27.200000000000557
2023-10-05 02:00:00,EURUSD,LowVolumeNearResistance,1.05063,1.05063,1.05247,1.04787,0.0024,733,Asian,THURSDAY,2,0,5,10,2023,1.4999999999998794,Win,-27.599999999998737
2023-10-05 03:00:00,EURUSD,Consolidation,1.05196,1.05265,1.04966,1.05563,0.00244,2345,Asian,THURSDAY,3,0,5,10,2023,0.996655518394627,Loss,-29.90000000000048
2023-10-05 04:00:00,EURUSD,BullishBreakout,1.05281,1.05281,1.05052,1.0551,0.00234,3251,Asian,THURSDAY,4,0,5,10,2023,0.9999999999999031,Loss,-22.900000000001253
2023-10-05 04:00:00,EURUSD,Consolidation,1.05281,1.05331,1.04968,1.05693,0.00234,3251,Asian,THURSDAY,4,0,5,10,2023,0.9972451790633429,Win,36.19999999999956
2023-10-05 05:00:00,EURUSD,LowVolumeNearResistance,1.05226,1.05226,1.05427,1.04925,0.00204,1654,Asian,THURSDAY,5,0,5,10,2023,1.4975124378108737,Win,-30.09999999999957
2023-10-05 08:00:00,EURUSD,Consolidation,1.05169,1.05313,1.05131,1.05494,0.00143,2241,European,THURSDAY,8,0,5,10,2023,0.9945054945055803,Win,18.100000000000893
2023-10-05 10:00:00,EURUSD,BullishSweep,1.05081,1.05086,1.04903,1.0527,0.00151,4706,European,THURSDAY,10,0,5,10,2023,1.0054644808743527,Win,18.400000000000638
2023-10-05 10:00:00,EURUSD,HighVolumeBullish,1.05081,1.05081,1.0493,1.05307,0.00151,4706,European,THURSDAY,10,0,5,10,2023,1.4966887417216859,Win,22.599999999999287
2023-10-05 11:00:00,EURUSD,HighVolumeBearish,1.05035,1.05035,1.05195,1.04796,0.0016,5110,European,THURSDAY,11,0,5,10,2023,1.4937499999998898,Win,-23.899999999998922
2023-10-05 15:00:00,EURUSD,BearishSweep,1.05143,1.05187,1.0543,1.04944,0.00199,5590,European,THURSDAY,15,0,5,10,2023,1.0000000000000915,Win,-24.300000000001543
2023-10-05 15:00:00,EURUSD,BullishSweep,1.05143,1.05068,1.04854,1.05282,0.00199,5590,European,THURSDAY,15,0,5,10,2023,1.0,Loss,-21.400000000000308
2023-10-05 15:00:00,EURUSD,HighVolumeBearish,1.05143,1.05143,1.05342,1.04845,0.00199,5590,European,THURSDAY,15,0,5,10,2023,1.497487437185969,Win,-29.799999999999827
2023-10-05 16:00:00,EURUSD,BearishSweep,1.05245,1.05225,1.05467,1.04983,0.0022,3898,American,THURSDAY,16,0,5,10,2023,0.9999999999999083,Win,-24.199999999998667
2023-10-05 16:00:00,EURUSD,BullishEngulfing,1.05245,1.05245,1.04883,1.05607,0.0022,3898,American,THURSDAY,16,0,5,10,2023,0.9999999999999387,Win,36.19999999999956
2023-10-05 18:00:00,EURUSD,BearishSweep,1.05251,1.05256,1.05527,1.04985,0.00229,3153,American,THURSDAY,18,0,5,10,2023,1.0,Win,-27.099999999999902
2023-10-05 21:00:00,EURUSD,BullishBreakout,1.05504,1.05504,1.05218,1.0579,0.0025,1866,American,THURSDAY,21,0,5,10,2023,1.0,Loss,-28.600000000000847
